normal,shear
-52.54306653664692,124.4704347672048
-17.94392220397241,208.34577937256697
15.931238041547225,279.7595084926324
49.25437744261346,343.9293896210745
82.12244246868282,403.0902535925302
114.59962552958433,458.4728542350729
146.73229838953617,510.85033667397875
185.7489768196605,604.7092761339808
228.14756931433183,714.3249611346246
270.22292523605813,819.2110777264268
311.77589976074916,919.6151305971696
352.76660211475763,1015.9695568288731
393.21060153122005,1108.713854439781
433.1422197219676,1198.2448293635243
472.6005083280514,1284.9070439939537
511.6237640637711,1368.9958777294719
550.2474880660113,1450.7639707608425
588.503787551328,1530.4279261868326
626.4213825450672,1608.17428918567
664.0258530349607,1684.1645885902676
701.3399646819144,1758.539490379483
738.3840018096627,1831.4221895294372
775.1760779118282,1902.9211749850467
811.7324131184132,1973.1324878543173
848.0675768337006,2042.1415727742697
884.1946975665281,2110.0248031058068
920.125643415611,2176.850744142396
955.871177001605,2242.6812051301254
991.4410884673656,2307.572120268982
1026.8443097984816,2371.57429052004
1062.0890132920974,2434.734011518164
1097.1826965898258,2497.093607789593
1132.1322563180054,2558.691889479784
1166.9440520543212,2619.564544658847
1201.6239620635108,2679.7444777961528
1236.1774320123466,2739.262103033571
1270.6095176797005,2798.145599324007
1304.9249225156318,2856.4211332511454
1339.1280307688028,2914.1130543400623
1373.222936789617,2971.2440668550576
1407.2134710232804,3027.8353814201773
1441.1032231293602,3083.906849258684
1474.895562599521,3139.4770814053677
1508.5936571908255,3194.563554881368
1542.200489446396,3249.1827075197934
1574.9055031880614,3299.8458614589417
1605.4241665929326,3341.019719570279
1635.8968598141087,3381.9273942576533
1666.324203789944,3422.574775584818
1696.7068017779193,3462.967525588951
1727.045240138604,3503.111090832845
1757.3400890724843,3543.0107140670043
1787.5919033132213,3582.6714450784734
1817.8012227805798,3622.0981507953975
1847.9685731959719,3661.2955247094646
1878.0944666633116,3700.2680956723134
1908.1794022176339,3739.020236116544
1938.2238663437336,3777.5561697471944
1968.2283334668803,3815.8799787452326
1998.1932664175024,3853.9956105208057
2028.1191168715811,3891.9068840505283
2058.006325768342,3929.617495830075
2087.8553237067335,3967.1310254705286
2117.666531322029,4004.450940964504
2147.440359643827,4041.5806036458034
2177.177210436584,4078.5232728643887
2206.87747652378,4115.28211039657
2236.541542096678,4151.860184608765
2266.1697830086227,4188.260474391595
2295.7625670557236,4224.485872879809
2325.3202542447075,4260.539190972272
2354.8431970486963,4296.42316066512
2384.331740651579,4332.140438210226
2413.7862231816316,4367.6936071101445
2443.2069759349715,4403.085180959856
2472.594323589413,4438.317606144958
2501.948584409233,4473.393264405072
2531.270070441341,4508.314475270771
2560.5590877033123,4543.083498381621
2589.815936363693,4577.702535692429
2619.040910914999,4612.1737335743
2648.234300339765,4646.499184816645
2677.3963882700036,4680.680930535806
2706.527453140402,4714.720961995691
2735.6277683355725,4748.621222345335
2764.6976023316306,4782.383608278024
2793.7372188323966,4816.0099716163495
2822.7468769004736,4849.50212082721
2851.7268310834247,4882.861822470548
2880.6773315353144,4916.090802585389
2909.5986241337996,4949.1907480164955
2938.49095059299,4982.163307684729
2967.354548572274,5015.01009380409
2996.1896517812743,5047.73268304813
3024.9964900811283,5080.332617668339
3053.775289582243,5112.811406566929
3082.526272738679,5145.170526326283
3111.2496584393166,5177.411422197219
3139.9456620959395,5209.535509048079
3168.614495728362,5241.544172276561
3197.2563680467356,5273.438768686066
3225.8714845311456,5305.220627328275
3254.4600475086095,5336.891050313518
3283.022256227588,5368.451313590479
3311.5583069301124,5399.9026676966405
3340.068392921611,5431.2463384808025
3368.552704638551,5462.483527798981
3397.0114297139517,5493.615414184851
3425.444753040884,5524.643153495908
3453.852856834013,5555.567879536404
3482.2359206892665,5586.390704658083
3510.5941216417036,5617.112720339715
3538.9276342216517,5647.734997746288
3567.2366305091714,5678.258588268798
3595.5212801869197,5708.684524045415
3623.7817505914663,5739.013818464839
3652.018206763124,5769.247466652585
3680.230811494338,5799.386445940887
3708.4197253767006,5829.431716322942
3736.585106846635,5859.384220892096
3764.7271122297816,5889.244886266589
3792.8458957841644,5919.014623000466
3820.9416097421463,5948.694325981179
3849.0144043512373,5978.2848748144115
3877.06442791379,6007.787134196659
3905.091826825617,6037.201954276003
3933.0967456135745,6066.530171001563
3961.079326972133,6095.772606462051
3989.039711798993,6124.930069213857
4016.9780392297494,6154.003354599054
4044.8944466716607,6182.993245053696
4072.789069836533,6211.900510406792
4100.6620427727685,6240.725908170276
4128.513497896579,6269.4701838203455
4156.343566022419,6298.134071070427
4184.152376392648,6326.718292136131
4211.94005670644,6355.223557992447
4239.70673314799,6383.6505686234805
4267.452530414004,6412.000013264976
4295.177571740531,6440.272570639897
4322.881978929129,6468.46890918732
4350.565872372396,6496.589687284817
4378.229371078896,6524.635553464651
4405.872592697487,6552.6071466238955
4433.495653541046,6580.505096228746
4461.098668609677,6608.330022513227
4488.681751613338,6636.0825366724275
4516.24501499395,6663.763241050507
4543.788569947008,6691.372729323637
4571.31252644267,6718.911586677997
4598.816993246379,6746.380389983059
4626.30207793902,6773.779707960267
4653.767886936597,6801.110101347257
