normal,shear
-108.29615325624415,31.02129601994105
-73.3940427991428,124.31416567459068
-39.75983931374468,193.0496952614943
-6.93729962763498,252.16886202113815
25.541074543295338,306.7348817212305
60.57584592738946,371.6473394719345
95.72398458003151,435.9724132648113
131.0139207296212,500.1139786522338
166.4572252189595,564.2892889284143
202.05510899530248,628.6105798723314
237.8021275779819,693.1268270913763
273.68844695865727,757.8471599192205
309.7013068316065,822.7549264392109
345.8260079806005,887.8166109081488
382.04660379301066,952.987737620178
418.3464004167187,1018.2169193783967
454.7083288417288,1083.4487138488803
491.11522851328584,1148.6256850242498
527.5500679358231,1213.6899169061503
563.99611899704,1278.584138287581
600.4370962158793,1343.2525638314582
636.8572685525302,1407.6415229894976
673.2415490854916,1471.6999266605428
709.5755663206935,1535.3796072491518
745.8457198768955,1598.6355582303047
782.0392226150441,1661.4260927965236
818.1441308324366,1723.7129366241286
854.1493638490401,1785.4612665848674
890.0447141214499,1846.639704917634
925.8208488944222,1907.2202766776795
961.4693043164147,1967.1783370068822
996.9824728874934,2026.492473788748
1032.3535850640767,2085.1443904777043
1067.5766858077648,2143.118773263226
1102.646606830247,2200.403146204019
1137.5589352500422,2256.9877175173724
1172.3099793381966,2312.865219814557
1206.8967319883918,2368.030746721778
1241.316832502354,2422.481588009015
1275.5685272343756,2476.217065060289
1309.6506295899558,2529.2383682548643
1343.5624798237825,2581.548397587154
1377.3039050323612,2633.1516076319995
1410.8751796873707,2684.053857760607
1444.2769870079383,2734.2622683296945
1477.5103814241859,2783.785083401791
1510.5767523409952,2832.6315404073193
1543.4777893704327,2880.811747028384
1576.2154491639378,2928.336565469301
1608.7919239412972,2975.2175041789
1641.2096117828034,3021.466617003656
1673.4710887237102,3067.0964096777475
1705.5790826661582,3112.1197534950747
1737.536449103002,3156.5498059583188
1769.3461486302417,3200.3999381598983
1801.0112262099035,3243.683668618476
1832.53479213295,3286.4146032713147
1863.9200046219626,3328.6063813063606
1895.1700540056286,3370.27262650759
1926.2881483913472,3411.4269037820413
1957.277500758186,3452.0826805362317
1988.1413173898984,3492.253292572686
2018.8827875664317,3531.951914183438
2049.505074432208,3571.1915321259676
2080.011306960196,3609.9849231776043
2110.4045729323484,3648.344634976613
2140.687912859083,3686.282969871355
2170.864314763173,3723.8119715130256
2200.936709756363,3760.9434139419486
2230.907968340392,3797.688792932188
2260.7808973675187,3834.0593193740215
2290.5582375993276,3870.0659144884735
2320.2426618061786,3905.719206682423
2349.836773353408,3941.0295298668034
2379.343105223961,3976.006923073832
2408.7641194307253,4010.661131222114
2438.102206775281,4045.001606890808
2467.35968691311,4079.03751297565
2496.53880868851,4112.777726110692
2525.6417507055007,4146.230840749962
2554.6706221038703,4179.405173812918
2583.627463512269,4212.308769806667
2612.5142481527705,4244.949406346309
2641.3328830737414,4277.334600002559
2670.0852104900678,4309.471612413053
2698.7730092118795,4341.367456600401
2727.3979961448013,4373.028903446092
2755.961827846568,4404.462488275094
2784.466102126429,4435.674517511028
2812.912359675315,4466.67107536655
2841.3020857160654,4497.4580305377885
2869.6367116642964,4528.041042875653
2897.9176167916344,4558.425570010289
2926.1461298840636,4588.616873908144
2954.3235308890817,4618.620027344046
2982.4510525462297,4648.439920273218
3010.5298819963195,4678.081266090556
3038.561162365359,4707.548607766526
3066.545994319853,4736.846323850964
3094.485437590638,4765.978634337685
3122.380512462999,4794.949606384341
3150.232201231179,4823.763159883252
3178.041449615853,4852.423072880122
3205.809168143451,4880.9329868385885
3233.5362334865395,4909.296411749421
3261.223489764743,4937.516731084057
